Target,Warmup,MAE,RMSE,Naive MAE,Gain,Gain %,R2,N test,Holdout MAE,Holdout R2
pH,52,0.30842816661713895,0.406362450398427,0.8768421052631579,0.568413938646019,64.82511905326747,0.9347267120879618,57,0.29843681600862476,0.932753513724383
EC,52,0.12467618988332103,0.17081320694637417,0.19607719298245616,0.07140100309913512,36.414741568400395,0.9817891457709969,57,0.12992176197884558,0.958809994769733
